minister,communications_information,culture_community_youth,defence,education,finance,foreign_affairs,general,health,home_affairs,law,manpower,national_development,social_family_development,sustainability_environment,trade_industry,transport
Dr Richard Hu Tsu Tau,1.6065249629263472,0.9021255561047948,17.53583786455759,3.336628769154721,21.15669797330697,1.828966880869995,25.667325753830944,1.3346515076618883,1.8042511122095897,0.1606524962926347,6.216015818091942,3.868017795353435,0.8774097874443896,1.569451309935739,8.98418190805734,3.1512605042016806
Dr Tony Tan Keng Yam,1.8473505104521146,0.3889158969372873,18.619348565872627,5.007292173067574,16.285853184248904,2.819640252795333,22.022362664073896,0.6806028196402528,1.4098201263976664,0.04861448711716091,9.090909090909092,5.590666018473505,1.06951871657754,1.2153621779290227,10.841030627126884,3.0627126883811377
Goh Chok Tong,1.2830793905372895,0.5613472333600642,15.637530072173217,3.4482758620689653,21.4915797914996,2.967121090617482,24.137931034482758,0.40096230954290296,2.165196471531676,0.0,7.538091419406576,4.0096230954290295,0.5613472333600642,1.0425020048115476,12.670408981555733,2.0850040096230953
Goh Keng Swee,1.2809743805123899,0.9449811003779925,27.320453590928178,6.572868542629147,11.192776144477111,1.3019739605207896,26.963460730785382,0.6719865602687947,2.372952540949181,0.251994960100798,2.645947081058379,4.010919781604367,1.0499790004199916,1.868962620747585,7.790844183116338,3.7589248215035695
Heng Swee Keat,3.5418875927889713,3.1177094379639447,17.560975609756095,5.302226935312832,8.14422057264051,1.1876988335100742,20.742311770943797,3.160127253446447,1.378579003181336,0.021208907741251323,7.062566277836692,2.799575821845175,2.290562036055143,4.814422057264051,10.922587486744433,7.953340402969247
Hon Sui Sen,1.7070484581497798,0.7158590308370044,21.172907488986784,4.680616740088106,12.004405286343612,3.0286343612334803,24.476872246696036,1.4317180616740088,2.5881057268722465,0.19273127753303965,5.616740088105727,5.699339207048458,0.46806167400881055,1.486784140969163,11.095814977973568,3.634361233480176
Lawrence Wong,1.5093127809890816,2.3763648041104686,18.336544637122675,5.523442517662171,9.698137443802183,0.5780346820809248,23.859987154784843,2.7938342967244703,1.348747591522158,0.09633911368015415,8.702633269107258,4.367373153500321,3.982016698779704,3.692999357739242,7.321772639691715,5.812459858702633
Lee Hsien Loong,1.07747562852745,1.1031298101590559,18.855823499230375,5.438686505900462,19.317598768599282,1.1800923550538738,23.293996921498202,2.8219599794766546,1.026167265264238,0.2565418163160595,6.875320677270396,2.9502308876346843,1.6675218060543866,1.7701385325808106,7.337095946639302,5.028219599794767
Lim Kim San,0.8146639511201629,1.3238289205702647,18.635437881873727,4.887983706720977,15.885947046843176,1.2219959266802443,28.0040733197556,0.9164969450101833,1.9348268839103868,0.5091649694501018,3.2586558044806515,4.887983706720977,1.120162932790224,2.240325865580448,9.674134419551935,4.684317718940937
Tharman Shanmugaratnam,1.0127635960044397,1.1653718091009988,15.607658157602664,7.200332963374029,15.690899001109878,1.4150943396226416,20.5188679245283,3.981687014428413,1.4705882352941175,0.11098779134295228,9.961154273029967,3.8568257491675917,2.885682574916759,0.9295227524972253,9.683684794672585,4.508879023307436
