Ministry,Total Sentences,% of Total,Avg Confidence,Years Mentioned,First Mention,Last Mention,Peak Year,Peak Year Count
Defence,7509,18.911023245271615,1.1777866560127848,66,1960,2025,1961,200
Finance,6010,15.13587024957816,2.5394342762063227,66,1960,2025,2002,220
Trade & Industry,3704,9.328330017377288,1.9794816414686824,66,1960,2025,2010,144
Manpower,2736,6.890472712619941,2.2167397660818713,66,1960,2025,2015,117
Education,2100,5.288740020651271,1.7604761904761905,66,1960,2025,2015,95
Transport,1778,4.477799884151409,1.9583802024746906,66,1960,2025,2021,79
National Development,1585,3.9917394917772686,2.3356466876971607,66,1960,2025,1974,86
Health,853,2.1482358274359683,2.279015240328253,63,1960,2025,2014,79
Sustainability & Environment,808,2.0349056841362985,1.7363861386138615,65,1960,2025,2021,62
Social & Family Development,683,1.7200997305261039,1.6002928257686677,62,1960,2025,2011,42
Home Affairs,681,1.7150628352683404,1.0690161527165933,65,1960,2025,1971,22
Foreign Affairs,649,1.634472511144131,1.4067796610169492,66,1960,2025,1984,25
Communications & Information,644,1.621880272999723,1.220496894409938,66,1960,2025,2019,39
"Culture, Community & Youth",520,1.3095927670184098,1.5923076923076922,61,1960,2025,2017,27
Law,60,0.15110685773289345,1.1,30,1960,2024,2000,6
